,vocal,meaning
4024,silt,sediment deposited by running water (at the entrance to a harbor or by a bend in a river)
4025,simian,monkeylike; N: ape or monkey
4026,simile,"comparison of one thing with another, using the word like or as"
4027,simper,smirk; smile in a silly way; smile affectedly
4028,simplistic,oversimplified
4029,simulate,feign; imitate
4030,sinecure,well-paid position with little responsibility; CF. sine cure: without care; CF. San Serif
4031,sinewy,(of meat) tough; strong and firm; muscular; N. sinew: tendon; strong cord connecting a muscle to a bone
4032,singular,being only one; individual; unique; extraordinary; odd; Ex. singular beauty/behavior
4033,sinister,evil; ominous
4034,sinuous,twisting; winding; bending in and out; not morally honest
4035,siren,apparatus for making sounds; womanlike creature
4036,skeptic,sceptic; doubter; person who suspends judgment until he has examined the evidence supporting a point of view; ADJ. skeptical; N. skepticism; scepticism
4037,skiff,small light sailboat or rowboat
4038,skim,read or glance through quickly; touch lightly in passing; brush; remove from the surface of a liquid
4039,skimp,provide or use scantily; live very economically; Ex. skimp on necessities; ADJ. skimpy: inadequate in amount; scanty; stingy; niggardly
4040,skinflint,miser; stingy person
4041,skirmish,minor fight; minor battle in war; V.
4042,skittish,inconstant; capricious; frivolous; not serious; Ex. charming but skittish young woman; CF. skit
4043,skulduggery(skullduggery),dishonest behavior or action; Ex. skulduggery in the election
4044,skulk,move furtively and secretly; Ex. He skulked through the less fashionable sections of the city.
4045,slack,moving slowly; sluggish; inactive; (of a rope) loose; negligent; lax; Ex. slack season; Ex. slack in one's work; N. V.
4046,slacken,slow up; loosen; make or become slack
4047,slag,glassy residue from smelting metal; dross; waste matter
4048,slake,satisfy (thirst); quench; sate
4049,slander,defamation; utterance of false and malicious statements; V. ADJ. slanderous
4050,slap,hit quickly with the flat part of the hand; N. CF. smack
4051,slapdash,hasty and careless; haphazard; sloppy(carelessly done)
4052,slaughter,killing of animals for food; massacre; V: butcher (animals) for food; kill in large numbers
4053,slavish,of or like a slave; servile; showing no originality; copied very closely; Ex. slavish devotion/copy of the original
4054,sleazy,shabby and dirty; flimsy; insubstantial; Ex. sleazy back-street hotel/fabric
4055,sledge,large sled drawn by work animals
4056,sleek,smooth and shining (as from good health); V.
4057,sleeper,one that achieves unexpected success; something originally of little value or importance that in time becomes very valuable
4058,sleigh,large vehicle drawn by a horse over snow or ice
4059,sleight,dexterity; CF. sleight of hand: legerdemain; quickness of the hands in doing tricks
4060,slew,large quantity or number; Ex. slew of errands left
4061,slick,make smooth or glossy; N: smooth surface; Ex. oil slick; ADJ: smooth; glossy; deftly executed; adroit; glib
4062,slight,insult to one's dignity; snub; V: treat as if of small importance; insult; snub; ADJ. small in size; of small importance
4063,slink,move furtively; ADJ. slinky: stealthy; furtive; sneaky (as in ambush)
4064,slipshod,slovenly; careless; sloppy; untidy; shabby; Ex. slipshod work
4065,slither,slip or slide
4066,sloth,slow moving tree-dwelling mammal; laziness; ADJ. slothful: lazy; indolent
4067,slough,(of a snake) shed or cast off (dead outer skin); N: outer layer that is shed
4068,slovenly,untidy; careless in work habits; slipshod; N. sloven: one who is habitually untidy or careless
4069,sluggard,lazy person
4070,sluggish,lazy; slow; inactive; lethargic; CF. slug: nail with no shell
4071,sluice,artificial channel for directing or controlling the flow of water (with a gate to regulate the flow)
4072,slur,pronounce indistinctly; speak indistinctly; mumble
4073,sly,clever in deceiving; secretive; not telling one's intentions
4074,smart,intelligent; quick and energetic; fashionable; Ex. smart pace/restaurant; V: cause or feel a sharp pain; N: smarting pain
4075,smattering,slight knowledge; small scattered number or amount; Ex. smattering of German
4076,smear,spread or cover with a sticky substance; N: mark made by smearing
4077,smelt,melt (ore) for separating and removing the metal; melt or blend ores changing their chemical composition
4078,smirk,conceited smile; offensively self-satisfied smile (often at someone else's misfortune); V.
4079,smolder,smoulder; burn slowly without flame; be liable to break out at any moment; exist in a suppressed state; Ex. smoldering anger
4080,smother,kill from lack of air; suppress; cover thickly; Ex. smothered in little stickers
4081,smudge,dirty mark with unclear edges made by rubbing; V.
4082,smug,self-satisfied; complacent
4083,sneak,"move, give, or take in a quiet, stealthy way; N: one who sneaks; ADJ. sneaky"
4084,snicker,half-stifled(suppressed) laugh; V.
4085,snip,short quick cut with scissors; V: cut with scissors
4086,snivel,complain or whine tearfully; run at the nose; snuffle; Ex. Don't come back sniveling to me.
4087,snub,ignore or behave coldly toward; Ex. I made a suggestion but she snubbed me; N.
4088,snuffle,sniffle; sniff repeatedly (in order to keep liquid from running out of the nose)
4089,soar,rise or fly high in the air; Ex. The rocket soared into the sky.
4090,sober,serious; solemn; not drunken; abstemious or temperate; V: make or become sober
4091,sobriety,moderation (especially regarding indulgence in alcohol); seriousness
4092,sodden,thoroughly soaked; dull or stupid as if from drink
4093,sojourn,temporary stay; V: stay for a time
4094,solace,comfort in sorrow or trouble; consolation; V: comfort or console in time of sorrow or trouble
4095,solder,repair or make whole by using a metal alloy; N: metal alloy (usually tin and lead) used in the molten state to join metallic parts
4096,solecism,nonstandard grammatical construction; construction that is flagrantly incorrect grammatically; violation of social etiquette
4097,solemnity,seriousness; gravity
4098,solicit,entreat; request earnestly; seek to obtain; Ex. solicit votes; CF. solicitor: one who solicits; chief law officer
4099,solicitor,lawyer in the lower court of law
4100,solicitous,anxious; worried; concerned; eager; Ex. solicitous to do something; N. solicitude
4101,soliloquy,talking to oneself (esp. in a play); CF. monologue: soliloquy; long speech by one person (often monopolizing a conversation)
4102,solitude,state of being alone; seclusion; ADJ. solitary: existing or living alone (esp. by choice); remote or secluded; single; sole; Ex. solitary life/inn; Ex. no solitary piece of proof
4103,solstice,point or time at which the sun is farthest from the equator
4104,soluble,able to be dissolved in a liquid; able to be worked out or solved
4105,solvent,substance that dissolves another; ADJ: capable of dissolving another substance
4106,somatic,pertaining to the body; bodily; physical
4107,somber,dark; gloomy; melancholy; depressing; CF. shadow
4108,somnambulist,sleepwalker; V. somnambulate; N. somnambulism
4109,somnolent,half asleep; drowsy; N. somnolence
4110,sonic,"of sound or its speed in air; CF. subsonic, supersonic"
4111,sonnet,14-line poetic verse form with a fixed rhyme pattern
4112,sonorous,resonant; producing a full deep sound; producing sound
4113,soothsayer,one who foretells the future
4114,sophist,"teacher of philosophy; quibbler; employer of fallacious reasoning;
N. sophism: plausible but fallacious argument"
4115,sophisticated,worldly wise and urbane; refined; complex; N. sophistication; V. sophisticate
4116,sophistry,seemingly plausible but fallacious reasoning; sophism
4117,sophomoric,immature; half-baked; like a sophomore
4118,soporific,sleep-causing; marked by sleepiness; drowsy
4119,sordid,filthy; foul; base; vile; Ex. sordid bed/story
4120,sound,in good condition; showing good judgment or good sense; thorough; complete; Ex. sound mind/investment/training
4121,sour,having a sharp or acid taste; acid; tart; bad-tempered; V.
4122,sovereign,ruler in a monarchy; ADJ: (of a country) independent and self- governing; having supreme power; supreme; excellent
4123,sovereignty,complete independence and self-government (of a country); supremacy of authority; power to govern
4124,sow,plant or scatter seed
4125,spangle,small shiny metallic piece sewn to clothing for ornamentation
4126,spare,give; use; refrain from harming; save from experiencing; exempt; Ex. spare me 5 minutes; Ex. Take this money and spare my life; Ex. The emperor was spared the onus; ADJ: kept in reserve; free for other use; unoccupied; Ex. spare time
4127,sparse,not thick; thinly scattered; scanty
4128,Spartan,without attention to comfort; lacking luxury and comfort; sternly disciplined; Ex. spartan living condition/life
4129,spasmodic,fitful; periodic; of or like a spasm; N. spasm: sudden involuntary muscular contraction; sudden burst of energy or emotion
4130,spat,squabble; minor dispute; minor quarrel
4131,spate,sudden flood or rush; Ex. spate of accidents
4132,spatial,relating to space
4133,spatula,broad-bladed instrument used for spreading or mixing
4134,spawn,lay eggs (in large numbers); produce offspring (in large numbers); N: eggs of aquatic animals
4135,specious,seemingly reasonable but incorrect; misleading (often intentionally)
4136,speck,small piece or mark; Ex. speck of dust in the eye
4137,spectral,ghostly; N. specter: spectre; ghost; phantom
4138,spectrum,colored band produced when a beam of light passes through a prism; broad and continuous range; Ex. whole spectrum of modern thoughts
4139,speechless,unable for the moment to speak (because of strong feeling); Ex. speechless with anger
4140,spendthrift,someone who wastes money; CF. thrift: accumulated wealth
4141,sphinx-like,enigmatic; mysterious
4142,spin,"rotate swiftly; make (thread) by twisting (cotton, wool, etc.); N."
4143,splice,join together end to end to make one continuous length; fasten together; unite; Ex. splice two strips of tape; N.
4144,spoilsport,one who spoils the pleasure of others
